Time,Precipitation
6/25/2019,0.0
6/26/2019,0.0
6/27/2019,0.0
6/28/2019,1.1
6/29/2019,n/a
6/30/2019,n/a
7/1/2019,0.9
7/2/2019,1.9
7/3/2019,
7/4/2019,0.9
7/5/2019,
7/6/2019,n/a
7/7/2019,n/a
7/8/2019,7.4
7/9/2019,
7/10/2019,
7/11/2019,
7/12/2019,
7/13/2019,n/a
7/14/2019,n/a
7/15/2019,
7/16/2019,
7/17/2019,1.1
7/18/2019,1.6
7/19/2019,
7/20/2019,n/a
7/21/2019,n/a
7/22/2019,2.9
7/23/2019,0.2
7/24/2019,0.4
7/25/2019,
7/26/2019,
7/27/2019,n/a
7/28/2019,n/a
7/29/2019,
7/30/2019,
7/31/2019,
8/1/2019,
8/2/2019,
8/3/2019,n/a
8/4/2019,n/a
8/5/2019,
8/6/2019,
8/7/2019,
8/8/2019,
8/9/2019,
8/10/2019,n/a
8/11/2019,n/a
8/12/2019,4.6
8/13/2019,
8/14/2019,
8/15/2019,2.8
8/16/2019,0.8
8/17/2019,n/a
8/18/2019,n/a
8/19/2019,3.7
8/20/2019,20.0
8/21/2019,0.3
8/22/2019,0.2
8/23/2019,0.3
8/24/2019,n/a
8/25/2019,n/a
8/26/2019,2.7
8/27/2019,0.6
8/28/2019,
8/29/2019,
8/30/2019,9.7
8/31/2019,n/a
9/1/2019,n/a
9/2/2019,7.9
9/3/2019,0.2
9/4/2019,0.4
9/5/2019,
9/6/2019,2.4
9/7/2019,n/a
9/8/2019,n/a
9/9/2019,
9/10/2019,
9/11/2019,0.0
9/12/2019,0.1
9/13/2019,5.6
9/14/2019,n/a
9/15/2019,n/a
9/16/2019,0.0
9/17/2019,0.1
9/18/2019,2.1
9/19/2019,3.6
9/20/2019,0.2
9/21/2019,n/a
9/22/2019,n/a
9/23/2019,
9/24/2019,
9/25/2019,0.0
9/26/2019,
9/27/2019,
9/28/2019,n/a
9/29/2019,n/a
9/30/2019,9.7
10/1/2019,28.0
10/2/2019,7.4
10/3/2019,
10/4/2019,0.0
10/5/2019,n/a
10/6/2019,n/a
10/7/2019,
10/8/2019,0.1
10/9/2019,
10/10/2019,
10/11/2019,
10/12/2019,n/a
10/13/2019,n/a
10/14/2019,0.5
10/15/2019,
10/16/2019,1.6
10/17/2019,
10/18/2019,0.0
10/19/2019,n/a
10/20/2019,n/a
10/21/2019,0.0
10/22/2019,0.0
10/23/2019,5.3
10/24/2019,1.8
10/25/2019,1.8
10/26/2019,n/a
10/27/2019,n/a
10/28/2019,0.6
10/29/2019,3.3
10/30/2019,
10/31/2019,1.1
11/1/2019,1.8
11/2/2019,n/a
11/3/2019,n/a
11/4/2019,6.2
11/5/2019,0.3
11/6/2019,
11/7/2019,
11/8/2019,
11/9/2019,n/a
11/10/2019,n/a
11/11/2019,
11/12/2019,
11/13/2019,0.3
11/14/2019,
11/15/2019,
11/16/2019,n/a
11/17/2019,n/a
11/18/2019,
11/19/2019,1.6
11/20/2019,
11/21/2019,
11/22/2019,
11/23/2019,n/a
11/24/2019,n/a
11/25/2019,0.5
11/26/2019,0.1
11/27/2019,0.0
11/28/2019,
11/29/2019,
11/30/2019,n/a
12/1/2019,n/a
12/2/2019,20.6
12/3/2019,1.8
12/4/2019,10.6
12/5/2019,0.6
12/6/2019,0.2
12/7/2019,n/a
12/8/2019,n/a
12/9/2019,3.5
12/10/2019,0.3
12/11/2019,0.2
12/12/2019,0.4
12/13/2019,
12/14/2019,n/a
12/15/2019,n/a
12/16/2019,
12/17/2019,1.1
12/18/2019,0.8
12/19/2019,0.9
12/20/2019,0.2
12/21/2019,n/a
12/22/2019,n/a
12/23/2019,2.2
12/24/2019,n/a
12/25/2019,n/a
12/26/2019,n/a
12/27/2019,2.4
12/28/2019,n/a
12/29/2019,n/a
12/30/2019,9.7
12/31/2019,n/a
1/1/2020,n/a
1/2/2020,13.7
1/3/2020,8.6
1/4/2020,n/a
1/5/2020,n/a
1/6/2020,n/a
1/7/2020,4.4
1/8/2020,0.7
1/9/2020,0.5
1/10/2020,0.3
1/11/2020,n/a
1/12/2020,n/a
1/13/2020,2.6
1/14/2020,0.0
1/15/2020,2.0
1/16/2020,0.9
1/17/2020,2.0
1/18/2020,n/a
1/19/2020,n/a
1/20/2020,1.4
1/21/2020,5.5
1/22/2020,4.0
1/23/2020,0.7
1/24/2020,6.9
1/25/2020,n/a
1/26/2020,n/a
1/27/2020,1.4
1/28/2020,0.1
1/29/2020,0.3
1/30/2020,0.0
1/31/2020,0.0
2/1/2020,n/a
2/2/2020,n/a
2/3/2020,1.6
2/4/2020,0.0
2/5/2020,2.0
2/6/2020,4.1
2/7/2020,2.0
2/8/2020,n/a
2/9/2020,n/a
2/10/2020,3.8
2/11/2020,2.5
2/12/2020,
2/13/2020,0.2
2/14/2020,
2/15/2020,n/a
2/16/2020,n/a
2/17/2020,3.1
2/18/2020,1.3
2/19/2020,8.1
2/20/2020,
2/21/2020,
2/22/2020,n/a
2/23/2020,n/a
2/24/2020,1.3
2/25/2020,0.4
2/26/2020,0.3
2/27/2020,0.9
2/28/2020,
2/29/2020,n/a
3/1/2020,n/a
3/2/2020,2.2
3/3/2020,
3/4/2020,
3/5/2020,
3/6/2020,0.9
3/7/2020,n/a
3/8/2020,n/a
3/9/2020,4.7
3/10/2020,0.8
3/11/2020,0.2
3/12/2020,0.5
3/13/2020,1.9
3/14/2020,n/a
3/15/2020,n/a
3/16/2020,2.0
3/17/2020,0.1
3/18/2020,0.1
3/19/2020,0.8
3/20/2020,0.0
3/21/2020,n/a
3/22/2020,n/a
3/23/2020,0.0
3/24/2020,
3/25/2020,8.5
3/26/2020,0.0
3/27/2020,0.6
3/28/2020,n/a
3/29/2020,n/a
3/30/2020,9.1
3/31/2020,3.7
4/1/2020,1.7
4/2/2020,
4/3/2020,2.0
4/4/2020,n/a
4/5/2020,n/a
4/6/2020,
4/7/2020,0.0
4/8/2020,0.2
4/9/2020,1.2
4/10/2020,n/a
4/11/2020,n/a
4/12/2020,n/a
4/13/2020,n/a
4/14/2020,1.7
4/15/2020,1.7
4/16/2020,0.0
4/17/2020,0.0
4/18/2020,n/a
4/19/2020,n/a
4/20/2020,0.0
4/21/2020,
4/22/2020,0.0
4/23/2020,0.0
4/24/2020,
4/25/2020,n/a
4/26/2020,n/a
4/27/2020,0.2
4/28/2020,
4/29/2020,0.0
4/30/2020,
5/1/2020,n/a
5/2/2020,n/a
5/3/2020,n/a
5/4/2020,0.7
5/5/2020,0.1
5/6/2020,
5/7/2020,0.0
5/8/2020,
5/9/2020,n/a
5/10/2020,n/a
5/11/2020,0.7
5/12/2020,0.0
5/13/2020,
5/14/2020,
5/15/2020,0.3
5/16/2020,n/a
5/17/2020,n/a
5/18/2020,2.9
5/19/2020,1.3
5/20/2020,
5/21/2020,n/a
5/22/2020,
5/23/2020,n/a
5/24/2020,n/a
5/25/2020,
5/26/2020,
5/27/2020,
5/28/2020,
5/29/2020,1.7
5/30/2020,n/a
5/31/2020,n/a
6/1/2020,
6/2/2020,
6/3/2020,
6/4/2020,
6/5/2020,
6/6/2020,n/a
6/7/2020,n/a
6/8/2020,1.0
6/9/2020,3.3
6/10/2020,
6/11/2020,
6/12/2020,
6/13/2020,n/a
6/14/2020,n/a
6/15/2020,0.0
6/16/2020,0.1
6/17/2020,
6/18/2020,
6/19/2020,n/a
6/20/2020,n/a
6/21/2020,n/a
6/22/2020,
6/23/2020,
6/24/2020,
6/25/2020,0.5
6/26/2020,
6/27/2020,n/a
6/28/2020,n/a
6/29/2020,
6/30/2020,0.2
7/1/2020,4.2
7/2/2020,0.3
7/3/2020,
7/4/2020,n/a
7/5/2020,n/a
7/6/2020,
7/7/2020,
7/8/2020,0.0
7/9/2020,2.1
7/10/2020,18.4
7/11/2020,n/a
7/12/2020,n/a
7/13/2020,5.6
7/14/2020,1.7
7/15/2020,
7/16/2020,0.1
7/17/2020,
7/18/2020,n/a
7/19/2020,n/a
7/20/2020,4.1
7/21/2020,10.4
7/22/2020,11.5
7/23/2020,7.5
7/24/2020,7.2
7/25/2020,n/a
7/26/2020,n/a
7/27/2020,10.0
7/28/2020,0.4
7/29/2020,0.3
7/30/2020,0.4
7/31/2020,
8/1/2020,n/a
8/2/2020,n/a
8/3/2020,
8/4/2020,0.2
8/5/2020,3.9
8/6/2020,
8/7/2020,0.0
8/8/2020,n/a
8/9/2020,n/a
8/10/2020,15.7
8/11/2020,
8/12/2020,
8/13/2020,
8/14/2020,0.7
8/15/2020,n/a
8/16/2020,n/a
8/17/2020,3.3
8/18/2020,0.0
8/19/2020,
8/20/2020,
8/21/2020,
8/22/2020,n/a
8/23/2020,n/a
8/24/2020,29.0
8/25/2020,0.0
8/26/2020,0.0
8/27/2020,
8/28/2020,0.1
8/29/2020,n/a
8/30/2020,n/a
8/31/2020,0.5
9/1/2020,0.0
9/2/2020,
9/3/2020,
9/4/2020,2.2
9/5/2020,n/a
9/6/2020,n/a
9/7/2020,21.5
9/8/2020,0.0
9/9/2020,0.0
9/10/2020,0.0
9/11/2020,0.3
9/12/2020,n/a
9/13/2020,n/a
9/14/2020,0.4
9/15/2020,0.1
9/16/2020,0.6
9/17/2020,
9/18/2020,4.4
9/19/2020,n/a
9/20/2020,n/a
9/21/2020,7.7
9/22/2020,14.4
9/23/2020,0.3
9/24/2020,0.0
9/25/2020,3.1
9/26/2020,n/a
9/27/2020,n/a
9/28/2020,0.1
9/29/2020,
9/30/2020,
10/1/2020,0.5
10/2/2020,
10/3/2020,n/a
10/4/2020,n/a
10/5/2020,
10/6/2020,2.3
10/7/2020,0.5
10/8/2020,0.5
10/9/2020,1.5
10/10/2020,n/a
10/11/2020,n/a
10/12/2020,0.8
10/13/2020,1.2
10/14/2020,
10/15/2020,0.3
10/16/2020,0.0
10/17/2020,n/a
10/18/2020,n/a
10/19/2020,23.0
10/20/2020,
10/21/2020,
10/22/2020,0.0
10/23/2020,0.2
10/24/2020,n/a
10/25/2020,n/a
10/26/2020,0.3
10/27/2020,
10/28/2020,
10/29/2020,0.0
10/30/2020,0.4
10/31/2020,n/a
11/1/2020,n/a
11/2/2020,0.0
11/3/2020,2.1
11/4/2020,
11/5/2020,1.1
11/6/2020,2.6
11/7/2020,n/a
11/8/2020,n/a
11/9/2020,17.7
11/10/2020,
11/11/2020,0.0
11/12/2020,0.0
11/13/2020,
11/14/2020,n/a
11/15/2020,n/a
11/16/2020,
11/17/2020,
11/18/2020,
11/19/2020,0.4
11/20/2020,0.0
11/21/2020,n/a
11/22/2020,n/a
11/23/2020,0.0
11/24/2020,
11/25/2020,
11/26/2020,0.1
11/27/2020,
11/28/2020,n/a
11/29/2020,n/a
11/30/2020,
12/1/2020,0.2
12/2/2020,
12/3/2020,0.6
12/4/2020,
12/5/2020,n/a
12/6/2020,n/a
12/7/2020,0.4
12/8/2020,0.1
12/9/2020,
12/10/2020,0.4
12/11/2020,0.6
12/12/2020,n/a
12/13/2020,n/a
12/14/2020,
12/15/2020,0.0
12/16/2020,0.3
12/17/2020,0.0
12/18/2020,
12/19/2020,n/a
12/20/2020,n/a
12/21/2020,0.8
12/22/2020,
12/23/2020,
12/24/2020,n/a
12/25/2020,n/a
12/26/2020,n/a
12/27/2020,n/a
12/28/2020,2.5
12/29/2020,0.0
12/30/2020,0.0
12/31/2020,n/a
1/1/2021,n/a
