Time,Precipitation
6/25/2019,0.0
6/26/2019,0.0
6/27/2019,0.0
6/28/2019,1.1
6/29/2019,n/a
6/30/2019,n/a
7/1/2019,0.9
7/2/2019,1.9
7/3/2019,
7/4/2019,0.9
7/5/2019,
7/6/2019,n/a
7/7/2019,n/a
7/8/2019,7.4
7/9/2019,
7/10/2019,
7/11/2019,
7/12/2019,
7/13/2019,n/a
7/14/2019,n/a
7/15/2019,
7/16/2019,
7/17/2019,1.1
7/18/2019,1.6
7/19/2019,
7/20/2019,n/a
7/21/2019,n/a
7/22/2019,2.9
7/23/2019,0.2
7/24/2019,0.4
7/25/2019,
7/26/2019,
7/27/2019,n/a
7/28/2019,n/a
7/29/2019,
7/30/2019,
7/31/2019,
8/1/2019,
8/2/2019,
8/3/2019,n/a
8/4/2019,n/a
8/5/2019,
8/6/2019,
8/7/2019,
8/8/2019,
8/9/2019,
8/10/2019,n/a
8/11/2019,n/a
8/12/2019,4.6
8/13/2019,
8/14/2019,
8/15/2019,2.8
8/16/2019,0.8
8/17/2019,n/a
8/18/2019,n/a
8/19/2019,3.7
8/20/2019,20.0
8/21/2019,0.3
8/22/2019,0.2
8/23/2019,0.3
8/24/2019,n/a
8/25/2019,n/a
8/26/2019,2.7
8/27/2019,0.6
8/28/2019,
8/29/2019,
8/30/2019,9.7
8/31/2019,n/a
9/1/2019,n/a
9/2/2019,7.9
9/3/2019,0.2
9/4/2019,0.4
9/5/2019,
9/6/2019,2.4
9/7/2019,n/a
9/8/2019,n/a
9/9/2019,
9/10/2019,
9/11/2019,0.0
9/12/2019,0.1
9/13/2019,5.6
9/14/2019,n/a
9/15/2019,n/a
9/16/2019,0.0
9/17/2019,0.1
9/18/2019,2.1
9/19/2019,3.6
9/20/2019,0.2
9/21/2019,n/a
9/22/2019,n/a
9/23/2019,
9/24/2019,
9/25/2019,0.0
9/26/2019,
9/27/2019,
9/28/2019,n/a
9/29/2019,n/a
9/30/2019,9.7
10/1/2019,28.0
10/2/2019,7.4
10/3/2019,
10/4/2019,0.0
10/5/2019,n/a
10/6/2019,n/a
10/7/2019,
10/8/2019,0.1
10/9/2019,
10/10/2019,
10/11/2019,
10/12/2019,n/a
10/13/2019,n/a
10/14/2019,0.5
10/15/2019,
10/16/2019,1.6
10/17/2019,
10/18/2019,0.0
10/19/2019,n/a
10/20/2019,n/a
10/21/2019,0.0
10/22/2019,0.0
10/23/2019,5.3
10/24/2019,1.8
10/25/2019,1.8
10/26/2019,n/a
10/27/2019,n/a
10/28/2019,0.6
10/29/2019,3.3
10/30/2019,
10/31/2019,1.1
11/1/2019,1.8
11/2/2019,n/a
11/3/2019,n/a
11/4/2019,6.2
11/5/2019,0.3
11/6/2019,
11/7/2019,
11/8/2019,
11/9/2019,n/a
11/10/2019,n/a
11/11/2019,
11/12/2019,
11/13/2019,0.3
11/14/2019,
11/15/2019,
11/16/2019,n/a
11/17/2019,n/a
11/18/2019,
11/19/2019,1.6
11/20/2019,
11/21/2019,
11/22/2019,
11/23/2019,n/a
11/24/2019,n/a
11/25/2019,0.5
11/26/2019,0.1
11/27/2019,0.0
11/28/2019,
11/29/2019,
11/30/2019,n/a
12/1/2019,n/a
12/2/2019,20.6
12/3/2019,1.8
12/4/2019,10.6
12/5/2019,0.6
12/6/2019,0.2
12/7/2019,n/a
12/8/2019,n/a
12/9/2019,3.5
12/10/2019,0.3
12/11/2019,0.2
12/12/2019,0.4
12/13/2019,
12/14/2019,n/a
12/15/2019,n/a
12/16/2019,
12/17/2019,1.1
12/18/2019,0.8
12/19/2019,0.9
12/20/2019,0.2
12/21/2019,n/a
12/22/2019,n/a
12/23/2019,2.2
12/24/2019,n/a
12/25/2019,n/a
12/26/2019,n/a
12/27/2019,2.4
12/28/2019,n/a
12/29/2019,n/a
12/30/2019,9.7
12/31/2019,n/a
