Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1918,-.28,-.38,-.19,-.39,-.32,-.13,-1.01,-.26,-.33,-.37,-.27,-.05,-.22,-.26
1919,-.27,-.34,-.19,-.42,-.19,-.22,-.70,-.54,-.29,-.22,-.16,-.14,-.32,.22
1920,-.26,-.29,-.23,-.24,-.24,-.31,-.01,-.19,-.33,-.37,-.11,-.18,-.48,-1.12
1921,-.18,-.10,-.25,.03,-.24,-.30,.01,.18,-.08,-.28,-.20,-.22,-.38,-.82
1922,-.28,-.27,-.29,-.24,-.31,-.27,-.30,-.40,-.12,-.31,-.31,-.23,-.28,-.26
1923,-.26,-.21,-.30,-.14,-.29,-.33,.17,-.14,-.24,-.31,-.27,-.25,-.41,-.53
1924,-.26,-.18,-.35,-.13,-.24,-.43,.45,-.25,-.21,-.25,-.24,-.39,-.45,-.51
1925,-.21,-.13,-.29,-.03,-.23,-.37,-.08,.18,-.17,-.27,-.19,-.23,-.55,-.84
1926,-.10,.03,-.20,.03,.03,-.40,.57,.16,-.21,.02,.04,-.34,-.45,-.62
1927,-.21,-.13,-.28,-.13,-.15,-.38,.02,-.21,-.12,-.13,-.16,-.29,-.45,-1.36
1928,-.19,-.09,-.28,-.06,-.14,-.39,.72,-.16,-.22,-.14,-.15,-.28,-.48,-2.10
1929,-.35,-.33,-.37,-.37,-.27,-.45,.15,-.61,-.37,-.27,-.27,-.42,-.44,-1.06
1930,-.15,-.01,-.29,.05,-.11,-.42,.54,.05,-.10,-.09,-.12,-.32,-.46,-2.58
1931,-.09,.05,-.21,.02,.07,-.42,.57,-.04,-.13,.09,.05,-.41,-.40,-.39
1932,-.16,-.06,-.26,.04,-.17,-.34,.49,.20,-.20,-.20,-.14,-.20,-.53,-.97
1933,-.28,-.25,-.32,-.23,-.29,-.34,-.15,-.46,-.11,-.29,-.28,-.21,-.48,-1.13
1934,-.12,.00,-.25,.18,-.25,-.25,.89,.31,-.11,-.26,-.25,-.15,-.38,-.55
1935,-.20,-.09,-.30,-.04,-.19,-.37,.35,-.05,-.15,-.17,-.20,-.30,-.41,-1.70
1936,-.15,-.03,-.26,-.02,-.13,-.29,.40,.10,-.25,-.05,-.21,-.26,-.33,-.02
1937,-.03,.12,-.17,.20,-.05,-.22,1.24,.03,-.02,.00,-.11,-.18,-.25,.38
1938,.00,.16,-.18,.39,-.23,-.09,1.51,.38,.03,-.18,-.28,-.05,-.11,-.85
1939,-.02,.09,-.13,.23,-.12,-.12,.57,.28,.08,-.11,-.14,-.04,-.18,-1.58
1940,.13,.18,.09,.11,.28,-.06,1.00,-.02,-.09,.27,.29,.04,-.20,-.04
1941,.19,.23,.17,.01,.49,-.05,.01,-.10,.08,.54,.43,.04,-.15,-.45
1942,.07,.13,.01,.13,.07,-.01,.74,-.07,.06,.11,.03,.06,-.05,-.88
1943,.09,.18,-.01,.37,-.09,.04,1.42,.28,.11,-.11,-.07,.08,.00,1.15
1944,.20,.27,.14,.38,.18,.05,1.18,.46,.10,.10,.26,.19,-.10,-.92
1945,.09,.10,.09,.11,.16,-.03,.63,-.03,.04,.09,.24,.04,.00,-1.75
1946,-.07,.02,-.17,.06,-.05,-.24,-.02,-.06,.17,-.03,-.08,-.22,-.24,-.14
1947,-.03,.08,-.13,.16,-.07,-.16,1.07,-.14,.05,-.04,-.10,-.19,-.08,-.19
1948,-.11,-.02,-.20,.13,-.19,-.23,.12,.31,.01,-.23,-.14,-.19,-.19,-1.35
1949,-.11,-.03,-.19,.11,-.19,-.22,.21,.16,.05,-.23,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.20,-.05,-.29,-.14,.20,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.09,.01,.12,-.01,-.12,-.21,-.16,-.69
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.09,-.02,-.48
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.07,-.08,-.24,-1.08
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.00,-.14,-.29,-.17,-.20,-.79
1955,-.14,-.09,-.20,.05,-.34,-.06,-.24,-.11,.23,-.30,-.39,-.16,-.08,1.23
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.13,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.02,.08,.20,-.15,-.17,.14,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.02,.08,-.12,.09,.02,-.20,.33,-.07,.11,.06,-.02,-.10,-.07,-.76
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.07,.24,-.05,-.08,.44,.31,.14,-.04,-.05,.09,-.07,-.66
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.04
1964,-.20,-.19,-.21,-.23,-.14,-.24,-.67,-.20,-.12,-.13,-.15,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,.00,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.06
1969,.05,-.03,.14,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.06,.07,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.43
1972,.01,-.17,.19,-.34,.16,.14,-.36,-.47,-.24,.06,.26,.16,-.02,.44
1973,.16,.09,.23,.11,.19,.18,.07,.27,.02,.08,.30,.21,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.17,-.19,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.06,.02,.12,-.24,.15,.10,.39,-.05,-.31,-.17,.13,.14,.28
1976,-.10,-.21,.01,-.26,-.11,.08,-.07,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.06,.10,.22,.21,.31,.27
1978,.07,.02,.11,-.03,.08,.16,-.16,.04,-.04,.10,.05,.20,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.09,.25,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.25,.02,.02,.32,.29,.35,.37,.58
1981,.32,.37,.27,.48,.18,.35,1.09,.79,.08,.22,.15,.28,.38,.60
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.28,.02,.18,.26,.37,.08,-.14,.07,.30,.16,.32,.52
1985,.12,.00,.23,-.03,.09,.30,.39,-.26,-.02,.04,.14,.29,.44,.04
1986,.18,.13,.23,.11,.22,.19,.01,.28,.03,.17,.28,.25,.25,-.12
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.37,.39,.59,.57,.23,.32,.42,.38,.20,.86
1989,.27,.27,.27,.41,.13,.33,.34,.69,.25,.07,.19,.35,.30,.34
1990,.45,.53,.37,.63,.37,.37,.59,.88,.48,.38,.36,.37,.37,.37
1991,.40,.41,.40,.47,.36,.39,.76,.66,.26,.32,.41,.31,.29,.96
1992,.22,.14,.31,.10,.28,.26,-.16,.44,-.04,.20,.37,.20,.32,.38
1993,.23,.19,.28,.13,.32,.22,.55,.30,-.11,.28,.36,.26,.39,-.30
1994,.31,.37,.26,.43,.31,.20,.34,.50,.41,.28,.34,.26,.23,-.06
1995,.44,.58,.31,.70,.42,.22,1.31,.99,.31,.40,.45,.28,.15,.15
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.32,.32,.28,1.20
1997,.46,.52,.41,.53,.51,.33,.77,.91,.22,.50,.52,.41,.36,.00
1998,.61,.70,.51,.78,.69,.32,.86,.94,.65,.59,.79,.38,.31,.16
1999,.38,.48,.28,.70,.20,.30,.41,.80,.74,.15,.25,.46,.19,.04
2000,.39,.50,.29,.70,.24,.29,.98,.80,.55,.20,.28,.41,.10,.27
2001,.54,.64,.43,.80,.42,.43,1.07,.87,.68,.40,.44,.58,.24,.32
2002,.63,.71,.54,.83,.59,.47,1.26,1.00,.58,.55,.63,.49,.31,.76
2003,.62,.75,.49,.84,.64,.37,1.50,.99,.54,.61,.66,.44,.24,.44
2004,.54,.66,.42,.73,.55,.33,.47,.96,.66,.56,.54,.48,.23,.04
2005,.68,.86,.50,1.02,.62,.42,1.99,1.23,.57,.62,.62,.49,.18,.70
2006,.64,.82,.46,.99,.56,.40,1.74,1.06,.70,.57,.54,.51,.19,.48
2007,.67,.85,.48,1.13,.46,.48,2.12,1.33,.69,.45,.48,.49,.07,1.28
2008,.54,.68,.40,.92,.37,.39,1.55,1.08,.61,.33,.42,.52,.08,.62
2009,.66,.73,.59,.78,.68,.51,1.43,.61,.68,.65,.71,.60,.14,1.00
2010,.72,.90,.54,1.03,.68,.47,2.22,.87,.74,.72,.65,.63,.20,.49
2011,.61,.74,.46,.99,.37,.54,2.35,.94,.58,.38,.35,.64,.18,1.02
2012,.64,.81,.48,1.05,.52,.40,2.22,.93,.74,.48,.57,.56,.19,.32
2013,.68,.80,.56,.95,.58,.54,1.56,1.05,.70,.58,.58,.62,.22,.91
2014,.75,.92,.58,1.08,.67,.52,2.05,1.14,.74,.69,.65,.72,.18,.56
2015,.90,1.18,.62,1.32,.96,.40,2.01,1.49,1.00,.97,.94,.75,.18,-.36
2016,1.02,1.31,.73,1.55,1.01,.48,3.26,1.44,1.08,.95,1.07,.67,.25,.36
2017,.92,1.18,.67,1.40,.82,.59,2.54,1.39,1.05,.87,.77,.76,.35,.53
2018,.85,1.04,.66,1.26,.68,.68,2.17,1.10,1.06,.73,.62,.80,.37,.92
2019,.98,1.22,.75,1.43,.90,.65,2.72,1.44,1.01,.91,.89,.74,.39,.86
2020,1.02,1.36,.68,1.68,.87,.57,2.93,1.82,1.20,.89,.85,.58,.39,.88
